Filière,Produit,ville,annee,production_tonnes,superficie_ha,température moyenne,température maximale,température minimale,vitesse du vent,température du vent,précipitations moyennes par jour,précipitations totales sur le mois,humidité,visibilité,couverture nuageuse,irrigation,type_sol,mecanisation
Agrumes,Orange_Navel lane late,Fes,2010,21911.53,1126.54,12,15,8,12,7,6,165,81,9,37,0,argileux,2
Agrumes,Orange_Navel lane late,Marrakech,2010,20660.98,1255.0,15,19,10,14,9,2,51,71,10,19,1,limoneux,4
Agrumes,Orange_Navel lane late,Meknes,2010,19517.61,1220.49,12,16,8,13,7,6,171,85,9,48,0,calcaire,3
Agrumes,Orange_Navel lane late,Ouarzazate,2010,20575.8,1133.04,10,17,3,17,0,1,11,62,10,14,1,sableux,2
Agrumes,Orange_Navel lane late,Oulad Teima,2010,20636.54,1223.79,17,21,13,15,12,2,45,66,10,18,1,limoneux,4
Agrumes,Orange_Navel lane late,Rabat,2010,22366.19,1315.53,15,18,13,20,12,4,118,83,10,39,0,argileux,5
Agrumes,Orange_Navel lane late,Sefrou,2010,21972.51,1097.5,10,13,7,12,5,5,145,83,9,40,1,calcaire,3
Agrumes,Orange_Navel lane late,Sidi Ifni,2010,23040.25,1249.9,17,18,15,22,15,2,35,72,10,21,0,sableux,2
Agrumes,Orange_Navel lane late,Skhirate,2010,21265.37,1111.61,15,18,12,14,11,5,148,85,9,37,1,limoneux,3
Agrumes,Orange_Navel lane late,Tanger,2010,19757.27,1095.27,14,15,13,22,12,10,305,84,10,45,1,argileux,5
Agrumes,Orange_Navel lane late,Taounate,2010,22296.21,1130.32,6,10,2,14,0,5,153,85,8,51,0,calcaire,2
Agrumes,Orange_Navel lane late,Tarfaya,2010,22499.54,1196.49,20,23,17,22,17,1,6,72,10,18,1,sableux,1
Agrumes,Orange_Navel lane late,Taza,2010,21646.27,1288.71,6,10,2,14,0,5,153,85,8,51,0,argileux,3
Agrumes,Orange_Navel lane late,Tiflet,2010,22543.08,1162.19,14,18,10,14,9,5,133,88,9,47,1,limoneux,4
Agrumes,Orange_Navel lane late,Youssoufia,2010,21357.66,1245.77,15,19,11,14,10,4,101,82,10,36,0,calcaire,2
Agrumes,Orange_Navel late,Agadir,2010,5685.27,399.28,18,21,14,17,13,3,64,66,10,19,1,sableux,3
Agrumes,Orange_Navel late,Fes,2010,5577.52,384.9,12,15,8,12,7,6,165,81,9,37,0,argileux,2
Agrumes,Orange_Navel late,Marrakech,2010,5122.36,407.66,15,19,10,14,9,2,51,71,10,19,1,limoneux,4
Agrumes,Orange_Navel late,Meknes,2010,5215.71,430.68,12,16,8,13,7,6,171,85,9,48,0,calcaire,3
Agrumes,Orange_Navel late,Ouarzazate,2010,5129.16,433.53,10,17,3,17,0,1,11,62,10,14,1,sableux,2
Agrumes,Orange_Navel late,Oulad Teima,2010,5813.94,434.67,17,21,13,15,12,2,45,66,10,18,1,limoneux,4
Agrumes,Orange_Navel late,Rabat,2010,5449.41,393.37,15,18,13,20,12,4,118,83,10,39,0,argileux,5
Agrumes,Orange_Navel late,Sefrou,2010,5669.24,430.36,10,13,7,12,5,5,145,83,9,40,1,calcaire,3
Agrumes,Orange_Navel late,Sidi Ifni,2010,6120.87,383.1,17,18,15,22,15,2,35,72,10,21,0,sableux,2
Agrumes,Orange_Navel late,Skhirate,2010,5375.76,425.88,15,18,12,14,11,5,148,85,9,37,1,limoneux,3
Agrumes,Orange_Navel late,Tanger,2010,5558.1,442.95,14,15,13,22,12,10,305,84,10,45,1,argileux,5
Agrumes,Orange_Navel late,Taounate,2010,5948.8,366.97,6,10,2,14,0,5,153,85,8,51,0,calcaire,2
Agrumes,Orange_Navel late,Tarfaya,2010,5352.56,401.65,20,23,17,22,17,1,6,72,10,18,1,sableux,1
Agrumes,Orange_Navel late,Taza,2010,5180.72,418.51,6,10,2,14,0,5,153,85,8,51,0,argileux,3
Agrumes,Orange_Navel late,Tiflet,2010,5421.56,422.9,14,18,10,14,9,5,133,88,9,47,1,limoneux,4
Agrumes,Orange_Navel late,Youssoufia,2010,5276.07,380.17,15,19,11,14,10,4,101,82,10,36,0,calcaire,2
Agrumes,Orange_Navelina,Agadir,2010,724.21,41.1,18,21,14,17,13,3,64,66,10,19,1,sableux,3
Agrumes,Orange_Navelina,Fes,2010,708.0,38.42,12,15,8,12,7,6,165,81,9,37,0,argileux,2
Agrumes,Orange_Navelina,Marrakech,2010,684.69,35.03,15,19,10,14,9,2,51,71,10,19,1,limoneux,4
Agrumes,Orange_Navelina,Meknes,2010,716.45,33.95,12,16,8,13,7,6,171,85,9,48,0,calcaire,3
Agrumes,Orange_Navelina,Ouarzazate,2010,707.4,39.68,10,17,3,17,0,1,11,62,10,14,1,sableux,2
Agrumes,Orange_Navelina,Oulad Teima,2010,625.09,34.39,17,21,13,15,12,2,45,66,10,18,1,limoneux,4
Agrumes,Orange_Navelina,Rabat,2010,719.26,34.85,15,18,13,20,12,4,118,83,10,39,0,argileux,5
Agrumes,Orange_Navelina,Sefrou,2010,672.15,38.11,10,13,7,12,5,5,145,83,9,40,1,calcaire,3
Agrumes,Orange_Navelina,Sidi Ifni,2010,707.91,38.33,17,18,15,22,15,2,35,72,10,21,0,sableux,2
Agrumes,Orange_Navelina,Skhirate,2010,719.73,38.95,15,18,12,14,11,5,148,85,9,37,1,limoneux,3
Agrumes,Orange_Navelina,Tanger,2010,642.63,36.75,14,15,13,22,12,10,305,84,10,45,1,argileux,5
Agrumes,Orange_Navelina,Taounate,2010,614.89,39.61,6,10,2,14,0,5,153,85,8,51,0,calcaire,2
Agrumes,Orange_Navelina,Tarfaya,2010,630.61,41.11,20,23,17,22,17,1,6,72,10,18,1,sableux,1
Agrumes,Orange_Navelina,Taza,2010,657.18,35.83,6,10,2,14,0,5,153,85,8,51,0,argileux,3
Agrumes,Orange_Navelina,Tiflet,2010,709.32,39.07,14,18,10,14,9,5,133,88,9,47,1,limoneux,4
Agrumes,Orange_Navelina,Youssoufia,2010,715.01,40.77,15,19,11,14,10,4,101,82,10,36,0,calcaire,2
Agrumes,Orange_Salustiana,Agadir,2010,29980.68,1143.12,18,21,14,17,13,3,64,66,10,19,1,sableux,3
Agrumes,Orange_Salustiana,Fes,2010,33331.97,1141.98,12,15,8,12,7,6,165,81,9,37,0,argileux,2
Agrumes,Orange_Salustiana,Marrakech,2010,32711.09,1041.18,15,19,10,14,9,2,51,71,10,19,1,limoneux,4
Agrumes,Orange_Salustiana,Meknes,2010,31411.91,1109.8,12,16,8,13,7,6,171,85,9,48,0,calcaire,3
Agrumes,Orange_Salustiana,Ouarzazate,2010,30731.79,1115.84,10,17,3,17,0,1,11,62,10,14,1,sableux,2
Agrumes,Orange_Salustiana,Oulad Teima,2010,32180.28,1146.17,17,21,13,15,12,2,45,66,10,18,1,limoneux,4
Agrumes,Orange_Salustiana,Rabat,2010,36206.76,1211.57,15,18,13,20,12,4,118,83,10,39,0,argileux,5
Agrumes,Orange_Salustiana,Sefrou,2010,32084.41,999.27,10,13,7,12,5,5,145,83,9,40,1,calcaire,3
Agrumes,Orange_Salustiana,Sidi Ifni,2010,33385.48,1006.23,17,18,15,22,15,2,35,72,10,21,0,sableux,2
Agrumes,Orange_Salustiana,Skhirate,2010,34610.98,1009.04,15,18,12,14,11,5,148,85,9,37,1,limoneux,3
Agrumes,Orange_Salustiana,Tanger,2010,32353.33,1155.62,14,15,13,22,12,10,305,84,10,45,1,argileux,5
Agrumes,Orange_Salustiana,Taounate,2010,36398.82,1021.91,6,10,2,14,0,5,153,85,8,51,0,calcaire,2
Agrumes,Orange_Salustiana,Tarfaya,2010,36336.72,1129.05,20,23,17,22,17,1,6,72,10,18,1,sableux,1
Agrumes,Orange_Salustiana,Taza,2010,31609.31,1063.41,6,10,2,14,0,5,153,85,8,51,0,argileux,3
Agrumes,Orange_Salustiana,Tiflet,2010,33242.18,1092.65,14,18,10,14,9,5,133,88,9,47,1,limoneux,4
Agrumes,Orange_Salustiana,Youssoufia,2010,31935.9,1039.39,15,19,11,14,10,4,101,82,10,36,0,calcaire,2
Agrumes,Orange_Washignton sanguine,Agadir,2010,53826.77,2757.75,18,21,14,17,13,3,64,66,10,19,1,sableux,3
Agrumes,Orange_Washignton sanguine,Fes,2010,51037.43,2613.87,12,15,8,12,7,6,165,81,9,37,0,argileux,2
Agrumes,Orange_Washignton sanguine,Marrakech,2010,57479.73,2798.07,15,19,10,14,9,2,51,71,10,19,1,limoneux,4
Agrumes,Orange_Washignton sanguine,Meknes,2010,56277.33,2607.94,12,16,8,13,7,6,171,85,9,48,0,calcaire,3
Agrumes,Orange_Washignton sanguine,Ouarzazate,2010,51201.58,2376.32,10,17,3,17,0,1,11,62,10,14,1,sableux,2
Agrumes,Orange_Washignton sanguine,Oulad Teima,2010,53757.09,2400.45,17,21,13,15,12,2,45,66,10,18,1,limoneux,4
Agrumes,Orange_Washignton sanguine,Rabat,2010,60839.95,2820.94,15,18,13,20,12,4,118,83,10,39,0,argileux,5
Agrumes,Orange_Washignton sanguine,Sefrou,2010,53317.41,2685.52,10,13,7,12,5,5,145,83,9,40,1,calcaire,3
Agrumes,Orange_Washignton sanguine,Sidi Ifni,2010,52252.46,2337.97,17,18,15,22,15,2,35,72,10,21,0,sableux,2
Agrumes,Orange_Washignton sanguine,Skhirate,2010,56128.54,2674.33,15,18,12,14,11,5,148,85,9,37,1,limoneux,3
Agrumes,Orange_Washignton sanguine,Tanger,2010,61710.48,2524.46,14,15,13,22,12,10,305,84,10,45,1,argileux,5
Agrumes,Orange_Washignton sanguine,Taounate,2010,53345.46,2470.52,6,10,2,14,0,5,153,85,8,51,0,calcaire,2
Agrumes,Orange_Washignton sanguine,Tarfaya,2010,58183.62,2391.81,20,23,17,22,17,1,6,72,10,18,1,sableux,1
Agrumes,Orange_Washignton sanguine,Taza,2010,59190.26,2744.28,6,10,2,14,0,5,153,85,8,51,0,argileux,3
Agrumes,Orange_Washignton sanguine,Tiflet,2010,53295.76,2345.45,14,18,10,14,9,5,133,88,9,47,1,limoneux,4
Agrumes,Orange_Washignton sanguine,Youssoufia,2010,58814.5,2461.59,15,19,11,14,10,4,101,82,10,36,0,calcaire,2
Agrumes,Pamplemousse,Agadir,2010,671.22,52.09,18,21,14,17,13,3,64,66,10,19,1,sableux,3
Agrumes,Pamplemousse,Fes,2010,707.69,50.51,12,15,8,12,7,6,165,81,9,37,0,argileux,2
Agrumes,Pamplemousse,Marrakech,2010,707.86,54.28,15,19,10,14,9,2,51,71,10,19,1,limoneux,4
Agrumes,Pamplemousse,Meknes,2010,694.38,48.9,12,16,8,13,7,6,171,85,9,48,0,calcaire,3
Agrumes,Pamplemousse,Ouarzazate,2010,632.96,52.03,10,17,3,17,0,1,11,62,10,14,1,sableux,2
Agrumes,Pamplemousse,Oulad Teima,2010,735.68,58.89,17,21,13,15,12,2,45,66,10,18,1,limoneux,4
Agrumes,Pamplemousse,Rabat,2010,664.74,52.14,15,18,13,20,12,4,118,83,10,39,0,argileux,5
Agrumes,Pamplemousse,Sefrou,2010,646.22,52.68,10,13,7,12,5,5,145,83,9,40,1,calcaire,3
Agrumes,Pamplemousse,Sidi Ifni,2010,626.13,53.9,17,18,15,22,15,2,35,72,10,21,0,sableux,2
Agrumes,Pamplemousse,Skhirate,2010,701.98,54.86,15,18,12,14,11,5,148,85,9,37,1,limoneux,3
Agrumes,Pamplemousse,Tanger,2010,713.93,57.54,14,15,13,22,12,10,305,84,10,45,1,argileux,5
Agrumes,Pamplemousse,Taounate,2010,622.79,50.83,6,10,2,14,0,5,153,85,8,51,0,calcaire,2
Agrumes,Pamplemousse,Tarfaya,2010,691.12,58.22,20,23,17,22,17,1,6,72,10,18,1,sableux,1
Agrumes,Pamplemousse,Taza,2010,651.74,56.98,6,10,2,14,0,5,153,85,8,51,0,argileux,3
Agrumes,Pamplemousse,Tiflet,2010,709.47,56.6,14,18,10,14,9,5,133,88,9,47,1,limoneux,4
Agrumes,Pamplemousse,Youssoufia,2010,644.55,49.71,15,19,11,14,10,4,101,82,10,36,0,calcaire,2
Agrumes,Petit fruit_Autres,Agadir,2010,51803.39,5015.8,18,21,14,17,13,3,64,66,10,19,1,sableux,3
Agrumes,Petit fruit_Autres,Fes,2010,48767.58,5650.73,12,15,8,12,7,6,165,81,9,37,0,argileux,2
Agrumes,Petit fruit_Autres,Marrakech,2010,54256.29,5949.26,15,19,10,14,9,2,51,71,10,19,1,limoneux,4
Agrumes,Petit fruit_Autres,Meknes,2010,46280.52,5640.11,12,16,8,13,7,6,171,85,9,48,0,calcaire,3
Agrumes,Petit fruit_Autres,Ouarzazate,2010,48311.82,5228.33,10,17,3,17,0,1,11,62,10,14,1,sableux,2
Agrumes,Petit fruit_Autres,Oulad Teima,2010,46040.54,5092.21,17,21,13,15,12,2,45,66,10,18,1,limoneux,4
Agrumes,Petit fruit_Autres,Rabat,2010,54136.17,5767.85,15,18,13,20,12,4,118,83,10,39,0,argileux,5
Agrumes,Petit fruit_Autres,Sefrou,2010,53663.6,5792.45,10,13,7,12,5,5,145,83,9,40,1,calcaire,3
Agrumes,Petit fruit_Autres,Sidi Ifni,2010,47482.27,5183.18,17,18,15,22,15,2,35,72,10,21,0,sableux,2
Agrumes,Petit fruit_Autres,Skhirate,2010,51494.48,5023.07,15,18,12,14,11,5,148,85,9,37,1,limoneux,3
Agrumes,Petit fruit_Autres,Tanger,2010,53063.65,5444.7,14,15,13,22,12,10,305,84,10,45,1,argileux,5
Agrumes,Petit fruit_Autres,Taounate,2010,50448.79,5638.2,6,10,2,14,0,5,153,85,8,51,0,calcaire,2
Agrumes,Petit fruit_Autres,Tarfaya,2010,50193.81,5774.96,20,23,17,22,17,1,6,72,10,18,1,sableux,1
Agrumes,Petit fruit_Autres,Taza,2010,47321.7,5890.26,6,10,2,14,0,5,153,85,8,51,0,argileux,3
Agrumes,Petit fruit_Autres,Tiflet,2010,45837.25,5669.06,14,18,10,14,9,5,133,88,9,47,1,limoneux,4
Agrumes,Petit fruit_Autres,Youssoufia,2010,53861.96,5114.79,15,19,11,14,10,4,101,82,10,36,0,calcaire,2
Agrumes,Petit fruit_Clémentine,Agadir,2010,475943.56,28212.74,18,21,14,17,13,3,64,66,10,19,1,sableux,3
Agrumes,Petit fruit_Clémentine,Fes,2010,452384.72,29854.55,12,15,8,12,7,6,165,81,9,37,0,argileux,2
Agrumes,Petit fruit_Clémentine,Marrakech,2010,426467.92,29426.72,15,19,10,14,9,2,51,71,10,19,1,limoneux,4
Agrumes,Petit fruit_Clémentine,Meknes,2010,427365.08,29242.09,12,16,8,13,7,6,171,85,9,48,0,calcaire,3
Agrumes,Petit fruit_Clémentine,Ouarzazate,2010,460568.04,26141.87,10,17,3,17,0,1,11,62,10,14,1,sableux,2
Agrumes,Petit fruit_Clémentine,Oulad Teima,2010,475652.04,28584.04,17,21,13,15,12,2,45,66,10,18,1,limoneux,4
Agrumes,Petit fruit_Clémentine,Rabat,2010,474768.63,29130.13,15,18,13,20,12,4,118,83,10,39,0,argileux,5
Agrumes,Petit fruit_Clémentine,Sefrou,2010,465320.05,28189.58,10,13,7,12,5,5,145,83,9,40,1,calcaire,3
Agrumes,Petit fruit_Clémentine,Sidi Ifni,2010,453171.74,25860.93,17,18,15,22,15,2,35,72,10,21,0,sableux,2
Agrumes,Petit fruit_Clémentine,Skhirate,2010,404004.26,29689.37,15,18,12,14,11,5,148,85,9,37,1,limoneux,3
Agrumes,Petit fruit_Clémentine,Tanger,2010,410833.41,26951.08,14,15,13,22,12,10,305,84,10,45,1,argileux,5
Agrumes,Petit fruit_Clémentine,Taounate,2010,475779.3,25203.56,6,10,2,14,0,5,153,85,8,51,0,calcaire,2
Agrumes,Petit fruit_Clémentine,Tarfaya,2010,450034.06,25094.53,20,23,17,22,17,1,6,72,10,18,1,sableux,1
Agrumes,Petit fruit_Clémentine,Taza,2010,397399.48,28021.87,6,10,2,14,0,5,153,85,8,51,0,argileux,3
Agrumes,Petit fruit_Clémentine,Tiflet,2010,405531.71,26879.72,14,18,10,14,9,5,133,88,9,47,1,limoneux,4
Agrumes,Petit fruit_Clémentine,Youssoufia,2010,455063.92,25011.28,15,19,11,14,10,4,101,82,10,36,0,calcaire,2
Agrumes,Petit fruit_Fortune,Agadir,2010,496.46,30.39,18,21,14,17,13,3,64,66,10,19,1,sableux,3
Agrumes,Petit fruit_Fortune,Fes,2010,513.62,30.74,12,15,8,12,7,6,165,81,9,37,0,argileux,2
Agrumes,Petit fruit_Fortune,Marrakech,2010,556.37,30.31,15,19,10,14,9,2,51,71,10,19,1,limoneux,4
Agrumes,Petit fruit_Fortune,Meknes,2010,572.15,27.27,12,16,8,13,7,6,171,85,9,48,0,calcaire,3
Agrumes,Petit fruit_Fortune,Ouarzazate,2010,567.75,30.1,10,17,3,17,0,1,11,62,10,14,1,sableux,2
Agrumes,Petit fruit_Fortune,Oulad Teima,2010,520.61,26.16,17,21,13,15,12,2,45,66,10,18,1,limoneux,4
Agrumes,Petit fruit_Fortune,Rabat,2010,574.38,27.87,15,18,13,20,12,4,118,83,10,39,0,argileux,5
Agrumes,Petit fruit_Fortune,Sefrou,2010,522.04,28.41,10,13,7,12,5,5,145,83,9,40,1,calcaire,3
Agrumes,Petit fruit_Fortune,Sidi Ifni,2010,531.76,30.94,17,18,15,22,15,2,35,72,10,21,0,sableux,2
Agrumes,Petit fruit_Fortune,Skhirate,2010,578.16,28.36,15,18,12,14,11,5,148,85,9,37,1,limoneux,3
Agrumes,Petit fruit_Fortune,Tanger,2010,567.49,26.17,14,15,13,22,12,10,305,84,10,45,1,argileux,5
Agrumes,Petit fruit_Fortune,Taounate,2010,589.48,28.14,6,10,2,14,0,5,153,85,8,51,0,calcaire,2
